# stage	status	check	command	max_seconds	cost_note
stage0	DONE	cargo-build	cargo build	30	trusted rustc seed builds bootstrap
self-check	DONE	self-check	bootstrap self-check	60	positive corpus expected stdout
tv	DONE	tv-check	bootstrap tv-check	180	interpreter stdout equals rustc stdout
typeck	DONE	typeck-check	bootstrap typeck-check	180	interpreter rejects iff rustc rejects negative corpus
roundtrip	DONE	roundtrip-check	bootstrap roundtrip-check	60	parse emit reparse AST identity plus emitted-source interpreter parity over corpus
emit-tv	DONE	emit-tv-check	bootstrap emit-tv-check	600	emitted-source rustc parity 310 of 310; E1b std paths E1c generics E1d lifetimes E1e impl-trait args all emission-complete
emit-self-host	DONE	emit-self-host-check	bootstrap emit-self-host-check	600	emitted all-source bundle compiles and replays the corpus identically under rustc; hex literals text-preserved (IntHex)
witness	DONE	witness-check	bootstrap witness-check	120	facet witness table (source/tokens/ast/emit/value) deterministic across passes with error facets and proof/witness-report.tsv; drift between runs is machine-readable
cap-gate	DONE	cap-check	bootstrap cap-check	120	interpreter floor needs zero capabilities; native tier (rustc compile, artifact run, subprocess probe, workdir writes) is explicitly gated and fail-closed under RSMETA_CAPS
trace	DONE	trace-check	bootstrap trace-check	120	eval trace facets (bind/call/match-arm/loop/error) default-off, deterministic, coverage-probed; expr-level enter-exit held for cost
diag	DONE	diag-check	bootstrap diag-check	120	token-index parser errors + `in fn NAME` typeck errors render line/col + caret via lex_spanned/fn-offset mapping (no AST change); expression-level spans held
ast-canonical	DONE	ast-canonical-check	bootstrap ast-canonical-check	120	sig serializes generic parameters (fn/struct/enum/impl/method) so ast-canonical is faithful on the generic surface; distinct generic programs get distinct sigs (E1c parity for sig)
ast-diff	DONE	ast-diff-check	bootstrap ast-diff-check	120	canonical-AST semantic diff over the mirror-proven ast-canonical (rs-meta analogue of pnix-rs ir-diff): identical programs match, changes localized to the first differing position; faithful (not alpha/reorder-normalized) so a rename shows a diff
rust-ir	DONE	rust-ir-check	bootstrap rust-ir-check	120	content-addressed canonical Rust IR: ast-canonical serialization + stable format-invariant ir_hash (whitespace/comments discarded) + evaluable flag (re-emits to parseable Rust); consumed by the pnix-rs peer-engine verdict ir_hash (pnix-rs proposal 0008/0009); rs-meta stays pnix-free
borrow-boundary	DONE	borrow-boundary-check	bootstrap borrow-boundary-check	120	ownership BOUNDARY report (NOT a borrow checker): rs-meta interp does not model ownership, rustc is the oracle; a program rustc rejects with a borrow-family code (E0382/E0499/E0502/...) that interp still runs is held-borrow-not-modeled with rustc's reason code preserved -- the honest gap, not a false accept
trait-boundary	DONE	trait-boundary-check	bootstrap trait-boundary-check	120	trait surface BOUNDARY report (NOT a trait solver): inherent/trait impl + narrow dispatch supported; associated types / where-clauses / dyn Trait / blanket impls held; classification cross-checked against the actual parse boundary (a held surface must not parse -- teeth)
macro-boundary	DONE	macro-boundary-check	bootstrap macro-boundary-check	120	macro surface BOUNDARY report: fixed macro set (format!/vec!/println!/...) supported; user macro_rules! (lex boundary: $), proc/derive macros held; classification cross-checked against the actual parse boundary
rust-artifact	DONE	rust-artifact-check	bootstrap rust-artifact-check	120	per-program native artifact receipt (stage8-repro exposed): source_fnv + rustc version + deterministic flags + artifact_fnv (compiled binary hash) + receipt_hash; reproducible (same source->same receipt) and distinct sources->distinct receipts; consumed by the pnix-rs engine-artifact .px envelope; rs-meta stays pnix-free
rust-surface	DONE	rust-surface-check	bootstrap rust-surface-check	120	per-program trait+macro surface classification (supported vs held-macro-rules/held-assoc-type/held-dyn-trait/held-where-clause/held-blanket-impl); parse-based (no rustc); consumed by the pnix-rs peer-engine verdict surface field so rs-meta owns the classification
tv-stats	DONE	tv-stats-check	bootstrap tv-stats-check	120	translation-validation corpus coverage (positive + negative counts) exposed as a trust signal for the pnix-rs engine attestation; the counts back the interp==rustc claim gated by tv-check/typeck-check; rs-meta stays pnix-free
fuzz-diff	DONE	fuzz-check	bootstrap fuzz-check	180	automated DIFFERENTIAL TESTING (deep-research 2026-07-04 #1; Csmith/PLDI11): a deterministic well-defined-by-construction Rust generator over the evaluated subset (bounded arithmetic (+ integer division/remainder by nonzero literals: truncation-toward-zero + sign-of-dividend; wrapping_add/mul for the overflow surface) + let + if/else (all 6 comparison operators; incl. deep-nested if-in-if distribution) + match + struct literal/field-access + enum variant + match-on-variant binding + tuple literal/indexing + Option Some/None + option-pattern match + Vec literal/indexing/len + String format!/len + bounded recursion + references (&/*) + helper fn/call/params/return + bounded mutable while-loop accumulation + closures (capture + application) (docs/differential-testing.md), no overflow/division/nondeterminism) cross-checked interp-stdout == rustc-stdout; any divergence localizes an interp-vs-rustc bug and can be minted into the corpus; generator is reproducible (same seed -> same program); grows coverage automatically without a proof assistant
emi-metamorphic	DONE	emi-check	bootstrap emi-check	180	EMI METAMORPHIC MUTATION (deep-research 2026-07-04 #2; EMI/Orion PLDI14, 147 GCC/LLVM bugs): a semantics-preserving mutation must not change output -- inject observable code into a provably-dead if-false branch and require interp-stdout AND rustc-stdout stay identical to the base; teeth: the same injection under if-true changes output so the invariance is non-vacuous; stresses lowering/dead-code handling not just the front-end
fuzz-corpus	DONE	fuzz-corpus-check	bootstrap fuzz-corpus-check	120	MINTED DIFFERENTIAL CORPUS (deep-research roadmap #3, monotone coverage): fuzz-mint <n> keeps only interp-stdout==rustc-stdout generated programs into proofs/fuzz-corpus.tsv (seed/expected/source); fuzz-corpus-check re-runs the interpreter and requires it still produces the frozen output -- a permanent regression suite that grows monotonically as the fuzzer finds new well-defined programs (24 minted)
selfhost-audit	DONE	selfhost-audit-check	bootstrap selfhost-audit-check	120	SELF-HOSTING BLOCKER AUDIT (deep-research open question): the evaluator core (lexer/ast/parser/typeck/interp/sig/hash) is free of held-feature blockers -- zero macro_rules!/async/unsafe/trait-definitions -- so NO held feature blocks the core self-host (mrustc-style); the real remaining work is full-chain cost not any held language feature; drift-resistant (a core file gaining a trait/macro/async/unsafe flags a new blocker); docs/self-hosting.md
shrink	DONE	shrink-check	bootstrap shrink-check	120	DELTA-DEBUGGING SHRINKER (deep-research roadmap, fuzzing-book): conservative statement-level ddmin that drops removable let bindings while both tiers keep the baseline output; removes dead code to a minimal reproducer, is idempotent (fixed point); the output-preservation predicate swaps to divergence-preservation (interp!=rustc) to minimize a divergence into a small corpus entry when one appears
boundary	DONE	boundary-check	bootstrap boundary-check	120	KNOWN interp!=rustc BOUNDARY MAP (differential-testing payoff, drift-tracked): const-overflow (interp wraps at runtime / rustc rejects via arithmetic-overflow lint -- a held const-overflow-lint boundary) ; const div-by-zero + array-OOB + non-exhaustive-match (rustc rejects at COMPILE time, interp rejects at RUN time -- verdict agrees, phase differs) are made explicit and verified stable; a control confirms well-defined programs still agree, so the boundaries are specific not blanket
source-ast	DONE	source-ast-check	bootstrap source-ast-check	30	src/*.rs parses under rs-meta front-end
source-bundle	DONE	source-bundle-check	bootstrap source-bundle-check	120	all-source bundle print_help path matches rustc
stage2-chain	DONE	stage2-chain-check	bootstrap stage2-chain-check	420	all-source evaluator replays positive corpus
stage2-probe	DONE	stage2-probe-check	bootstrap stage2-probe-check	180	lexer/parser/typeck/interp source-slice harnesses
stage3-slim-chain	DONE	stage3-chain-check	bootstrap stage3-chain-check	120	slim evaluator stage2 loads slim stage2 prime
stage3-all-source-smoke	DONE	stage3-all-source-smoke-check	bootstrap stage3-all-source-smoke-check	120	slimmed evaluator-core source bundle stage2 loads evaluator-core stage2 prime smoke
stage3-core-mini	DONE	stage3-core-mini-check	bootstrap stage3-core-mini-check	180	evaluator-core stage2 prime replays arith recursion enum struct vec-string iterator-turbofish mini corpus
stage3-core-prefix	DONE	stage3-core-prefix-check	bootstrap stage3-core-prefix-check	240	evaluator-core stage2 prime replays first 8 positive corpus cases
stage3-core-middle	DONE	stage3-core-middle-check	bootstrap stage3-core-middle-check	240	evaluator-core stage2 prime replays middle 8 positive corpus cases
stage3-core-suffix	DONE	stage3-core-suffix-check	bootstrap stage3-core-suffix-check	240	evaluator-core stage2 prime replays last 8 positive corpus cases
stage3-core-feature	DONE	stage3-core-feature-check	bootstrap stage3-core-feature-check	240	evaluator-core stage2 prime replays 10 named later-feature corpus cases
stage3-core-negative	DONE	stage3-core-negative-check	bootstrap stage3-core-negative-check	240	evaluator-core stage2 prime rejects 10 named negative corpus cases
stage3-core-negative-middle	DONE	stage3-core-negative-middle-check	bootstrap stage3-core-negative-middle-check	240	evaluator-core stage2 prime rejects middle 8 negative corpus cases
stage3-core-negative-suffix	DONE	stage3-core-negative-suffix-check	bootstrap stage3-core-negative-suffix-check	240	evaluator-core stage2 prime rejects last 8 negative corpus cases
stage3-mirror	DONE	stage3-mirror-check	bootstrap stage3-mirror-check	300	stage1 stage2 and stage2 prime emit identical canonical AST and probe output
stage3-fixedpoint	DONE	stage3-fixedpoint-check	bootstrap stage3-fixedpoint-check	300	stage2 B and stage2 prime C evaluator transcripts identical normalized fixed point on bounded probe
stage3-full-held	DONE	stage3-full-held-check	bootstrap stage3-full-held-check	10	machine-readable boundary row guard for the budget-gated all-source stage3 chain
stage3-full-chain	DONE	stage3-full-chain-check	RS_META_STAGE3_FULL_CHAIN_BUDGET_SECS=3600 bootstrap stage3-full-chain-check	3600	all-source stage2 to stage2 prime full corpus replay passed in 2103s with release build after value_eq Vec fidelity fix; budget-gated on cost
rustc-bootstrap-map	DONE	receipt	proofs/rustc-bootstrap-map.md	0	stage0 stage1 stage2 stage3 and stage8 terminology mapping
stage8-repro-seed	DONE	stage8-repro-check	bootstrap stage8-repro-check	120	sample plus all-source bundle canonical native artifact receipts
stage8-selfhost-repro	DONE	stage8-selfhost-repro-check	bootstrap stage8-selfhost-repro-check	240	stage2 evaluator prime canonical native artifact receipt reproducibility
isolation	DONE	isolation-check	bootstrap isolation-check	10	fresh interpreter runs do not leak stdout or function namespace state
constitution	DONE	constitution-check	bootstrap constitution-check	10	zero-dep local-only verification and content-hash native names
